Standort Name;Adresse
         Henkel Chemical Technologies (Shanghai) Ltd.;   No.36 Pugong Road       Shanghai Chemical Industry Park       Shanghai             201400       China
         Henkel Xianghua Adhesives Co. Ltd.;   No.115 Yingjun Road       Zhangjiang Town, Pu Dong       Shanghai             201210       China
         The Bergquist Company Shenzen;   Room 401-1, Type A, Block E4, TCL Science Park       No.1001 Zhongshan Park Road, Xili       Nanshan District       Heao, Henggang, Longgang         Shenzhen       China
         Henkel Japan Ltd.;   529-1608       Shiga       Gamo-gun       341 Higashiyama, Otani, Hino-cho       Japan
         Henkel Singapore Pte. Ltd.;   Techno Centre       401 Commonwealth Drive, 03-01/02 Haw Par       149598             Singapore       Singapore
         Henkel Taiwan Ltd.;   10F, No. 866, ZhongZheng Road       ZhongHe District, New Taipei City       Taiwan             23586       Taiwan (Republic of China)
         PT Henkel Footwear and Speciality Adhesives ;   Jl. Raya Pajajaran No. 121       Kel. Gandasari Kec. Jatiuwung       Tangerang             15137       Indonesia
         PT Henkel Footwear and Speciality Adhesives ;   Jl. Raya Pajajaran No. 121       Kel. Gandasari Kec. Jatiuwung       Tangerang             15137       Indonesia
         Henkel Japan Ltd.;   105-7103       Tokyo       Minato-ku       1-5-2 Higashi Shimbashi       3F Shiodome City Center       Japan
         Henkel Japan Ltd.;   140-0002       Tokyo       Shinagawa-ku       2-5-5 Higashi Shinagawa       4F HarborOne Building       Japan
         Schwarzkopf & Henkel K.K.;   140-0002       Tokyo       Shinagawa-ku       2-2-8 HigashiShinagawa       14F Sphere Tower Tennoz       Japan
         Schwarzkopf & Henkel K.K.;   140-0002       Tokyo       Higashi Shinagawa, Shinagawa-ku       2-5-5       4F HarborOne Building       Japan
         The Bergquist Company Zhuhai Limited;   Block 1, No. 524, Anji East Road       Sanzao Town, Jin Wan Qu       Zhuhai, Guangdong             519000       China
         ____ ___;   __ ___ __ 5_ 503_       __ 7_ 202-6       ___ ___       ___       ____
         __ ______ ___;   ___ 99 (___)       ___       _____             (604-030)       ____
         __ ______ ___;   _______ 2_ 6_       _____1_ 33-33(___)       ___       _____             (153-771)       ____
         __ ___ ___;   __2__ 5_       ____ 412 (___)       ___       _____             (135-524)       ____
         __ ______ ___;   ___ 292       ___ ___ ___       ____              (330-891)       ____
         __ ______ ___;   ___ 1298       ___ ___       ____             (369-906)       ____
         Henkel S‹o Paulo;   Avenida Paulista, 777 - térreo       CEP: 01311-914                            -              S‹o Paulo               -             SP       Brasil
         Henkel Argentina S.A.;   1357 Nicolás Avellaneda Street       B1642EYA             San Isidro,Buenos Aires       Argentina
         Henkel Capital S.A. de C.V.;   Boulevard Magnocentro No. 8, Piso 2       Centro Urbano Interlomas       52760             Huixquilucan Edo de Mex       Mexico
         Henkel  Jundia’;   Avenida José Alves de Oliveira, 1000       CEP: 13213-105                            -              Jundia’               -             SP       Brasil
         Henkel Jamaica Ltd.;   36-38 Red Hills Road       10              Kingston       Jamaica
         Henkel Colombiana S.A.S.;   Calle 17 No. 68b-97       Zona Industrial de Montevideo       Bogotá D.C.       Colombia
         Henkel Argentina S. A.;   Ruta Nacional N¡5 Km. 159,5       Industrial Park       B6620             ,Chivilcoy       Argentina
         Henkel Centroamericana S.A.;   Interamericas World Financial Center, Torre Norte, Nivel 15       Diagonal 6, 10-50       Zona 10       Ciudad Guatemal       Guatemala
