id,content,time,retweets,favorites
598873371900784641,"Happy Father's day! Alles Gute zum Vatertag!#Vatertag #love #faith #team  pic.twitter.com/Tq7K9x1cUV",08:31 - 14. May. 2015,889,2.833
596429422200250369,"Ein Wort in eigener Sache!! http://www.mario-goetze.com/de/news/detail/id/2133 … pic.twitter.com/MTFAQqx2ZB",14:40 - 7. May. 2015,868,2.526
595918683404431361,"@ChampionsLeague #noucamp #FCBFCB  pic.twitter.com/HXMjSOl3P7",04:51 - 6. May. 2015,1.195,1.816
593065107405578240,"Auf geht's @FCBayern #MiaSanMia Wir wollen nach Berlin!!! #FCBBVB pic.twitter.com/m7Pc6ZVgrk",07:51 - 28. Apr. 2015,1.194,2.933
592393038254710785,"#miasanmeister but we still have plans!! #packmas #DFBPokal #ChampionsLeague #Bundesliga #fans #support pic.twitter.com/1OyOWxVvZJ",11:21 - 26. Apr. 2015,1.207,2.582
592388623359680513,"Deutscher Meister!!!!  Great team! Thank you fans! #miasanmeister  @FCBayern pic.twitter.com/7tMKY2IXJB",11:03 - 26. Apr. 2015,3.107,5.567
592358796741242880,"Watching Premier League #CHEARS and Bundesliga #BMGWOB  pic.twitter.com/f2o7zp62K4",09:05 - 26. Apr. 2015,1.110,2.708
592273627623620608,"Wanna do this again!!! Close to the German Championship! Come On @FCBayern #MiaSanMia  pic.twitter.com/A2ohpb2QmK",03:26 - 26. Apr. 2015,970,2.628
591555067733532673,"Great draw!!! Looking forward to the semis  @ChampionsLeague @FCBayern #FCBFCB",03:51 - 24. Apr. 2015,2.052,3.325
591314098509455361,"Holger! @Badstuber Kopf hoch...! Du kommst zurück, wie die vorherigen Male. Niemals aufgeben! #getwellsoon  @FCBayern",11:54 - 23. Apr. 2015,677,2.311
591247329925144576,"Jon Snow  #GameofThrones  https://twitter.com/captainjukis/status/591217357793665025 …",07:28 - 23. Apr. 2015,459,1.413
591181201773359104,"Ich liebe die Serie #GameofThrones! Ihr auch? Heute abend 22:20 bin ich im Talk auf #SkyGoT Viel Spaß!!!  pic.twitter.com/RZQtoNLpPx",03:05 - 23. Apr. 2015,988,2.274
590646639494373376,"Yeeeees! #FCBFCP Great team, amazing atmosphere. Thank you for the support!  #MiaSanHalbfinale #RoadToBerlin :",15:41 - 21. Apr. 2015,1.218,2.770
590486918422470656,"It is @ChampionsLeague Day! Important match today. #FCBFCP Let's fight, run and score together! #support #MiaSanMia pic.twitter.com/FlqfaJIYfo",05:07 - 21. Apr. 2015,1.038,2.170
